source_id,ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,radial_velocity,radial_velocity_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,ruwe
2919975061409082496,99.20848508251694,-26.561179378248035,11.680054212281888,0.010713884,29.855903246731447,0.00965138,19.62342387610339,0.012072738,10.023235,0.85486835,13.278695,14.305234,12.271855,1.083204
6159041724474078976,190.33274406612097,-34.09709693057336,10.76560225550774,0.016736953,16.468874599262712,0.016874606,-23.445696524873146,0.011321533,26.130936,0.2189271,11.211572,11.766248,10.510812,0.8967326
22957875803021568,36.375557857914814,8.559674617388596,10.143093390740328,0.030958936,-18.916601453826544,0.03286979,16.44937093647372,0.028815195,-8.989326,4.856493,14.943931,16.221956,13.827113,1.1547841
2024039042335988736,289.8093862001658,25.950497672169295,11.62557237045802,0.019337306,-96.70329673215733,0.014876896,-224.29560075269345,0.019896742,38.02678,4.2948146,14.886288,16.22787,13.704985,1.0416028
5232163970709718912,158.11355180700824,-70.0495876165941,11.0133166949369,0.0100179175,109.7310080520734,0.01181377,-19.992286307443223,0.011158837,40.27702,1.2241377,13.128433,14.096133,12.14858,1.0597447
1350594458124298368,267.2439973021677,45.641123215473925,12.000020257933556,0.017759468,52.28532765717145,0.020978315,-9.72997124402497,0.02448127,-35.351067,3.0051343,14.823864,16.113918,13.704393,1.0387431
6612761829104191360,330.0972037508628,-32.48186010422998,10.181610273634714,0.016098766,150.54904473361256,0.016195916,2.9277006004935076,0.015453356,-40.674145,0.1702196,10.6048565,11.023974,10.019289,0.9502189
2639534312819215488,354.45897436197095,-3.441021232930748,10.276739636601684,0.015092116,70.51034746248011,0.016232947,4.223242449865872,0.011981173,5.5362515,0.33815238,10.469052,10.862737,9.913514,0.9749978
3723077832008544384,211.61851968387697,9.234334102945278,17.628158082776334,0.017775267,-135.95539755985106,0.02349027,-87.50953868711774,0.015635261,-27.290073,0.38730377,11.936298,12.881323,10.975983,1.2332348
5951054428528698752,259.49784356254,-47.17272006055321,12.796382643337576,0.026369348,-22.27084779101269,0.03449746,-58.19214480715805,0.026794141,1.1735648,3.2223647,14.719585,16.217745,13.5012865,1.0744338
